id,title,rating_norm,vote_confidence,fame_score,popularity_score
872906,Jawan,0.7083594471460193,0.6840582102734268,0.8395087837655962,0.7343385678519666
232783,Yudh,0.4774376627971627,0.23088841118773784,0.5036860483665384,0.34971009008279175
781732,Animal,0.6098377734736906,0.6206876293247126,0.7072045095060314,0.645015215001455
864692,Pathaan,0.6385682545583207,0.6551388507734047,0.9593936322945416,0.7439296957974832
1239134,Bhooth Bangla,0.28206363958013925,0.0,0.7580350501803587,0.2697200609911285
1163258,12th Fail,0.788109326032673,0.6462726650104758,0.303511572613001,0.5647198364445629
392572,Rustom,0.6671888669534793,0.584634277917287,0.6728181348252672,0.6234726233451099
304139,Rahul,0.32735454652671303,0.130353832608894,0.05450111440475855,0.1371481242353262
45001,Deewana,0.669592525324003,0.4516725783139147,0.6295178806426089,0.5377141610640362
10757,Kabhi Khushi Kabhie Gham,0.7666827670700002,0.7578234890297311,0.9848264125072379,0.8272532577790235
1389158,Maa,0.6692248074505109,0.48381275077831976,0.5360441987766208,0.5272939936786387
26022,My Name Is Khan,0.7996362806457726,0.8615673881837985,0.7864587540500905,0.8297451318129822
784651,Fighter,0.6119851187234404,0.5999396021128158,0.8559520632019746,0.6785501679311572
1198380,Everybody Loves Sohrab Handa,0.28206363958013925,0.0,0.3094648533788516,0.13514900195067636
1160018,Kill,0.708611358918046,0.732786240101232,0.202497539786722,0.5700733978294011
1014214,Singham Again,0.4945515909895035,0.4376972475512002,0.9699723183913065,0.6059079203189777
960876,Dunki,0.6267783670331494,0.5555497207967309,0.7739912834523335,0.6317664865288746
192558,Aashiqui 2,0.6794519550515061,0.6200514177640737,0.5988636673722985,0.6226051732396559
19657,Baazigar,0.6791731534342199,0.5757087803951714,0.7963409942567716,0.6574181005095087
786190,Pagglait,0.6516572727916027,0.464173937677278,0.20631824808458465,0.4149397310666187
67605,Naseeb,0.6787642426386759,0.3213187457050207,0.5947633277018388,0.45696894484411443
1213898,Border 2,0.61304025997001,0.3131325226727623,0.5173227295903086,0.4193757453426133
32740,Krrish,0.6471675041439278,0.6664477059102781,0.7377004567596911,0.6849315009001495
1306845,Jaat,0.6010113637368794,0.4112205574251225,0.34698722137611465,0.42041917755718367
432527,Padmaavat,0.6904653538748539,0.6795086495624711,0.8357705488385798,0.7280307249921611
11854,Kuch Kuch Hota Hai,0.7469088141442157,0.7186566339666572,0.9338609540608949,0.7874557570215623
11518,Mohabbatein,0.7048114513669478,0.6706857697009779,0.871548865528047,0.7360635506989941
1257960,Sikandar,0.4923612299938257,0.5006579725767369,0.784861633748162,0.5846745595407279
1195430,Deva,0.5947879285177071,0.48776822277891935,0.5997218008920415,0.5374072520736741
554600,Uri: The Surgical Strike,0.7030062788974155,0.7305450852333931,0.7053706877145691,0.7188619450273493
1392469,Cocktail 2,0.28206363958013925,0.0,0.7056904349975156,0.25401667643627557
363343,Raees,0.6653419580549802,0.6537064007183657,0.6885989028512147,0.6659194849587127
205022,Chennai Express,0.6493232457283293,0.7038797072778109,0.8653607968856406,0.7441405649277377
8079,Om Shanti Om,0.7096120904557872,0.7091129910690285,0.894372945663903,0.7647658423555047
4251,Veer-Zaara,0.7384735454652672,0.6767718817711965,0.8877807740448574,0.7493297990074055
185008,Yeh Jawaani Hai Deewani,0.725397174458041,0.6751791978338969,0.767370162732138,0.7103691837969909
16987,Kaho Naa... Pyaar Hai,0.6674137575972009,0.594527770286172,0.7760391600951,0.6599140853255048
61202,Zindagi Na Milegi Dobara,0.7595152565336142,0.7120869104483579,0.7263792437682818,0.7234888623571235
14070,Ghajini,0.6981586086672238,0.7230213806893289,0.6724905408768688,0.7041327129422751
33142,Vivah,0.6604315280806399,0.5390763362558743,0.7371205351824072,0.616692874707549
12259,Sholay,0.6997482698050972,0.6806624982513064,0.5881180771982722,0.6557620376684647
1415974,Raat Akeli Hai - The Bansal Murders,0.5855483472536427,0.36676199120304914,0.5805396436759809,0.4637132403525177
540620,Laila Majnu,0.6546987014135764,0.3953766341577868,0.20589309886242116,0.37742988365754554
1146210,Housefull 5,0.5309735730134915,0.4462783234329784,0.8628603370194886,0.5839572149460084
41517,Ra.One,0.5692217936204869,0.7016558879599746,0.8836044158027857,0.7363753321618948
370665,Dilwale,0.6570969608198831,0.6919713533881798,0.9157650420683586,0.753878301106989
19666,Lagaan: Once Upon a Time in India,0.7249991526691628,0.7653687750718599,0.5798860023384365,0.7036684998914283
348892,Bajrangi Bhaijaan,0.7783757688468033,0.7460743618783107,0.7218236363861508,0.7436443552759366
25516,Koi... Mil Gaya,0.6985537938566148,0.6570222739975979,0.6804454213414347,0.6702789461796015
1108828,Girls Will Be Girls,0.690501446354094,0.44900610268807356,0.053489916170077506,0.3665755482825778
1196943,Chhaava,0.6820012478349047,0.4665235822155819,0.6026659634833893,0.5396879464388226
14134,Main Hoon Na,0.660099913633207,0.7169775516290422,0.7766077349927343,0.7263349609387746
1417941,Haq,0.7300793707530823,0.3865834882074331,0.39211179220715475,0.43976636178919704
499240,Madhosh,0.427354546526713,0.130353832608894,0.21806138309552894,0.2012162048425573
65946,Ready,0.4978422142532687,0.5475986874783089,0.8613349841009521,0.6342561054813458
592508,Sooryavanshi,0.575612935083315,0.6128182373799914,0.9392600230774372,0.7051699777447236
496331,Brahmāstra Part One: Shiva,0.6304044289209239,0.6256581224274294,0.682089763087828,0.6432995605995732
353429,Jaanwar,0.6042980862936915,0.3493670239959571,0.6132485393437012,0.4667711379449405
1308553,Hai Jawani Toh Ishq Hona Hai,0.28206363958013925,0.0,0.6591269322899819,0.24004762562401544
39839,Baghban,0.6833700308438996,0.5660568622633443,0.7205772683324456,0.630009959371158
93519,Karan Arjun,0.6666266403441752,0.5630012469194952,0.8932127584790723,0.6776085094010703
1262547,Subedaar,0.5444127279160279,0.19096491309612676,0.4034208523858048,0.3077188671060153
1218602,Sarzameen,0.43775795494751735,0.24673233445507345,0.4563838635042425,0.3382816362436908
664332,Gangubai Kathiawadi,0.7474842131160223,0.6200514177640737,0.7385270690518819,0.6747090324532085
1225915,Jewel Thief - The Heist Begins,0.6643030655765132,0.5285224349180029,0.5858720956859192,0.5660944277471543
1196364,Thamma,0.6376970356430466,0.45428044530839296,0.6083640285960985,0.5280180088449027
1147546,The Diplomat,0.6408015909895035,0.4376972475512002,0.4873114311663346,0.483047154151486
312956,Pehla Nasha,0.4160318197900696,0.08224411148502449,0.2932278151501619,0.19560737883032248
15917,Devdas,0.7467608075520749,0.7035645592259233,0.8660635036869823,0.7587936798131638
35907,Kaante,0.5287513258245862,0.459330278548992,0.7833930331291366,0.5669622620143745
1145110,King,0.28206363958013925,0.0,0.7709185986449775,0.2735851255305141
31524,Sarfarosh,0.6757775349959629,0.5510717111774821,0.6746361886498465,0.6068469279919635
538858,Tumbbad,0.755416136373688,0.6844295820062737,0.27891170574397556,0.5734222022826964
1201012,Dhoom Dhaam,0.6822184275618938,0.510690974863848,0.4022754493746929,0.5038954351218083
585268,War,0.6726584139350537,0.7035645592259233,0.6812457882353457,0.6922330061351196
1407523,Tu Meri Main Tera Main Tera Tu Meri,0.3985895107369338,0.30433937672240857,0.38205831103824256,0.3417925771193376
14072,Rab Ne Bana Di Jodi,0.7086284091012184,0.6814255437863761,0.8413359232882417,0.7334790874341621
